"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2024","16,077.2","15,077.4","16,077.2","15,077.4","46.62M","6.91%"
"03/12/2024","15,037.4","15,317.3","15,397.3","14,957.4","42.90M","-3.09%"
"03/11/2024","15,517.3","15,557.3","15,717.2","15,037.4","42.56M","-0.26%"
"03/08/2024","15,557.3","15,957.2","16,117.2","15,517.3","48.17M","-1.77%"
"03/07/2024","15,837.2","14,957.4","15,997.2","14,917.4","78.92M","5.88%"
"03/06/2024","14,957.4","15,317.3","15,437.3","14,837.4","35.65M","-2.09%"
"03/05/2024","15,277.3","15,157.3","15,317.3","14,877.4","37.34M","1.06%"
"03/04/2024","15,117.3","15,437.3","15,477.3","15,037.4","31.64M","0.00%"
"03/01/2024","15,117.3","14,677.4","15,157.3","14,677.4","48.00M","3.28%"
"02/29/2024","14,637.4","14,637.4","15,037.4","14,517.5","45.63M","0.83%"
"02/28/2024","14,517.5","14,557.4","14,757.4","14,397.5","35.18M","0.28%"
"02/27/2024","14,477.5","14,477.5","14,757.4","14,317.5","27.61M","0.84%"
"02/26/2024","14,357.5","13,957.5","14,517.5","13,837.6","31.19M","2.57%"
"02/23/2024","13,997.5","14,557.4","14,557.4","13,957.5","46.57M","-3.05%"
"02/22/2024","14,437.5","14,637.4","14,717.4","14,437.5","18.98M","-1.63%"
"02/21/2024","14,677.4","14,677.4","14,797.4","14,517.5","30.87M","0.27%"
"02/20/2024","14,637.4","14,397.5","14,957.4","14,397.5","61.79M","2.23%"
"02/19/2024","14,317.5","14,357.5","14,397.5","13,997.5","34.18M","-0.28%"
"02/16/2024","14,357.5","14,277.5","14,517.5","14,237.5","27.37M","0.56%"
"02/15/2024","14,277.5","14,557.4","14,597.4","14,237.5","30.77M","-1.38%"
"02/07/2024","14,477.5","14,477.5","14,597.4","14,277.5","20.18M","0.56%"
"02/06/2024","14,397.5","14,317.5","14,637.4","14,277.5","31.92M","1.12%"
"02/05/2024","14,237.5","14,197.5","14,317.5","14,117.5","19.45M","0.57%"
"02/02/2024","14,157.5","14,037.5","14,397.5","13,957.5","48.79M","1.72%"
"02/01/2024","13,917.6","13,997.5","14,037.5","13,877.6","15.09M","-0.29%"
"01/31/2024","13,957.5","13,957.5","14,317.5","13,917.6","46.63M","0.29%"
"01/30/2024","13,917.6","13,797.6","13,917.6","13,677.6","17.74M","0.87%"
